MONTH_DAY,TMIN,TMAX,AWND,PRCP,YEARS_COUNT
04-21,1.032857142857143,7.845714285714286,2.4471428571428575,0.9528571428571428,35.0
04-22,0.9385714285714286,8.504285714285714,2.4442857142857144,2.21,35.0
04-23,1.5657142857142856,9.564285714285715,2.5557142857142856,0.43,35.0
04-24,1.8585714285714285,9.187142857142858,2.5357142857142856,1.3142857142857143,35.0
04-25,2.0385714285714283,8.355714285714285,2.78,1.5085714285714285,35.0
04-26,1.6228571428571428,7.895714285714287,2.6585714285714284,1.4742857142857144,35.0
04-27,1.4828571428571429,8.068571428571428,2.8057142857142856,1.6242857142857143,35.0
04-28,1.8428571428571427,8.457142857142857,2.5785714285714287,1.412857142857143,35.0
04-29,2.2657142857142856,8.384285714285713,2.7457142857142856,1.6057142857142859,35.0
04-30,2.322857142857143,8.427142857142856,2.837142857142857,2.4985714285714287,35.0
05-01,2.2342857142857144,8.697142857142856,2.624285714285714,0.9385714285714286,35.0
05-02,1.7514285714285713,8.715714285714286,2.202857142857143,0.63,35.0
05-03,2.072857142857143,9.381428571428572,2.21,0.8128571428571428,35.0
05-04,2.894285714285714,9.622857142857143,2.3242857142857143,1.5442857142857143,35.0
05-05,3.1685714285714286,9.69,2.42,1.087142857142857,35.0
05-06,3.5957142857142856,10.201428571428572,2.46,1.1585714285714286,35.0
05-07,3.725714285714286,10.217142857142857,2.6085714285714285,1.6785714285714286,35.0
05-08,3.71,9.57857142857143,2.637142857142857,2.7085714285714286,35.0
05-09,3.5714285714285716,10.030000000000001,2.5985714285714288,0.8228571428571428,35.0
05-10,3.5814285714285714,10.002857142857144,2.5785714285714287,1.69,35.0
05-11,3.612857142857143,9.424285714285714,2.69,1.7771428571428571,35.0
05-12,3.3142857142857145,9.347142857142856,2.5114285714285716,1.1600000000000001,35.0
05-13,3.382857142857143,9.757142857142858,2.657142857142857,0.6371428571428571,35.0
05-14,3.8871428571428575,10.59142857142857,2.3985714285714286,1.0214285714285714,35.0
05-15,3.8228571428571434,10.717142857142857,1.9957142857142856,1.6328571428571428,35.0
05-16,4.0928571428571425,11.492857142857142,2.218571428571429,1.98,35.0
05-17,4.502857142857143,11.347142857142856,2.8285714285714287,1.8771428571428572,35.0
05-18,4.212857142857143,11.298571428571428,2.512857142857143,1.3514285714285714,35.0
05-19,4.4871428571428575,10.858571428571429,2.605714285714286,1.29,35.0
05-20,4.507142857142857,10.517142857142858,2.281428571428571,1.4957142857142858,35.0
05-21,4.74,10.937142857142858,2.5185714285714287,1.36,35.0
05-22,5.537142857142857,11.582857142857142,2.6185714285714288,1.63,35.0
05-23,5.52,10.918571428571427,2.462857142857143,1.5371428571428571,35.0
05-24,5.248571428571428,10.604285714285714,2.5028571428571427,1.8071428571428572,35.0
05-25,4.985714285714286,10.681428571428572,2.2542857142857144,1.3985714285714284,35.0
05-26,4.7057142857142855,11.122857142857143,2.068571428571429,1.39,35.0
05-27,5.018571428571429,11.347142857142856,2.2142857142857144,2.6214285714285714,35.0
05-28,5.7371428571428575,12.294285714285715,2.2285714285714286,1.0057142857142856,35.0
05-29,5.658571428571429,12.102857142857143,2.1471428571428572,3.774285714285714,35.0
05-30,6.014285714285714,12.387142857142857,2.1799999999999997,2.575714285714286,35.0
05-31,5.585714285714285,11.974285714285715,2.024285714285714,1.5314285714285714,35.0
06-01,5.821428571428571,11.912857142857142,2.092857142857143,1.9599999999999997,35.0
06-02,6.071428571428571,12.112857142857143,2.15,1.0271428571428571,35.0
06-03,5.715714285714286,12.255714285714285,2.0900000000000003,1.812857142857143,35.0
06-04,6.2457142857142856,12.73857142857143,1.9900000000000002,2.0642857142857145,35.0
06-05,6.51,13.0,1.9228571428571428,2.5957142857142856,35.0
06-06,6.777142857142857,13.268571428571429,2.2685714285714287,0.8228571428571428,35.0
06-07,6.905714285714286,13.237142857142857,2.2142857142857144,0.8928571428571429,35.0
06-08,6.927142857142857,12.771428571428572,2.3842857142857143,1.8714285714285714,35.0
06-09,6.945714285714286,13.122857142857143,2.4514285714285715,1.9400000000000002,35.0
06-10,6.915714285714286,13.032857142857143,2.0885714285714285,1.0242857142857142,35.0
06-11,7.165714285714286,13.535714285714286,2.21,1.687142857142857,35.0
06-12,6.791428571428571,13.231428571428571,1.9228571428571428,1.5257142857142856,35.0
06-13,6.978571428571429,13.639999999999999,2.04,2.222857142857143,35.0
06-14,7.427142857142857,13.57,2.212857142857143,2.0457142857142854,35.0
06-15,7.477142857142857,13.401428571428571,2.164285714285714,2.205714285714286,35.0
