DATE,MONTH_DAY,TMIN,TMAX,AWND,PRCP,TMIN_AVG,TMAX_AVG,AWND_AVG,PRCP_AVG,TMIN_DEV,TMAX_DEV,AWND_DEV,PRCP_DEV,COMBINED_DEV
2001-01-27,01-27,-9.45,-1.4,1.05,0.0,-5.967142857142857,-0.6257142857142857,2.3214285714285716,0.3014285714285714,3.482857142857142,0.7742857142857142,1.2714285714285716,0.3014285714285714,1.2065965224699247
2001-01-28,01-28,-7.5,-0.55,0.9,0.0,-6.057142857142857,-0.9414285714285716,2.2642857142857142,0.3385714285714286,1.442857142857143,0.39142857142857157,1.3642857142857143,0.3385714285714286,0.8949378359292934
2001-01-29,01-29,-1.4,-0.3,2.65,9.0,-6.609999999999999,-1.6457142857142857,2.3457142857142856,0.3014285714285714,5.209999999999999,1.3457142857142856,0.30428571428571427,8.698571428571428,1.8484157673076576
2001-01-30,01-30,-2.2,-0.55,3.15,3.95,-6.594285714285714,-1.5514285714285716,2.0,0.1828571428571428,4.394285714285714,1.0014285714285716,1.15,3.7671428571428573,1.6218487802444574
2001-01-31,01-31,-6.65,-2.2,1.9,0.0,-5.5,-0.5585714285714286,2.017142857142857,0.3114285714285714,1.1500000000000004,1.6414285714285715,0.117142857142857,0.3114285714285714,0.4656475770459805
2001-02-01,02-01,-12.8,-3.9,3.1,0.0,-6.135714285714286,-0.7057142857142857,2.017142857142857,0.1928571428571428,6.664285714285715,3.194285714285714,1.0828571428571432,0.1928571428571428,1.9077266730055518
2001-02-02,02-02,-14.15,-6.1,1.45,0.0,-6.098571428571428,-0.6985714285714285,2.12,0.1585714285714285,8.051428571428573,5.401428571428571,0.6700000000000002,0.1585714285714285,2.2204567768054844
2001-02-03,02-03,-8.35,1.95,1.65,1.0,-6.41,-0.9385714285714286,2.3657142857142857,0.2985714285714286,1.9399999999999995,2.888571428571429,0.7157142857142857,0.7014285714285714,1.0436697262405557
2001-02-04,02-04,-4.7,0.3,2.95,0.0,-6.185714285714286,-0.8671428571428572,2.35,0.4057142857142857,1.4857142857142858,1.1671428571428573,0.6000000000000001,0.4057142857142857,0.6737221250120505
2001-02-05,02-05,-5.3,0.55,0.6,0.0,-5.428571428571429,-0.0128571428571428,1.887142857142857,0.3342857142857142,0.128571428571429,0.5628571428571428,1.287142857142857,0.3342857142857142,0.6863865944256597
2001-02-06,02-06,-7.5,-0.85,0.65,0.0,-5.501428571428572,0.0114285714285713,1.9471428571428573,0.1285714285714285,1.9985714285714282,0.8614285714285713,1.2971428571428572,0.1285714285714285,0.9919428834178209
2001-02-07,02-07,-4.45,-2.5,3.3,0.25,-6.121428571428571,-0.58,2.277142857142857,0.1885714285714285,1.6714285714285708,1.92,1.0228571428571427,0.0614285714285715,0.9554618478037135
2001-02-08,02-08,-6.95,-2.8,3.15,0.15,-6.587142857142857,-0.7157142857142856,2.032857142857143,0.2628571428571428,0.362857142857143,2.084285714285714,1.117142857142857,0.1128571428571428,0.8268438715332691
2001-02-09,02-09,-11.65,-6.95,3.75,0.0,-5.844285714285714,-0.8214285714285714,2.4985714285714287,0.1614285714285714,5.805714285714286,6.128571428571429,1.2514285714285713,0.1614285714285714,2.2345338021301573
2001-02-10,02-10,-12.5,-5.85,2.2,0.0,-6.738571428571428,-0.7985714285714286,2.487142857142857,0.3671428571428571,5.761428571428572,5.051428571428571,0.2871428571428569,0.3671428571428571,1.6820643322646942
2001-02-11,02-11,-7.5,-3.05,3.6,0.0,-5.847142857142857,-0.91,2.6799999999999997,0.2942857142857143,1.652857142857143,2.1399999999999997,0.9200000000000004,0.2942857142857143,0.9567040038696569
2001-02-12,02-12,-6.4,-2.2,1.6,0.0,-6.451428571428572,-0.7528571428571428,2.164285714285714,0.1485714285714285,0.0514285714285716,1.4471428571428575,0.5642857142857141,0.1485714285714285,0.45752701402289636
2001-02-13,02-13,-6.65,-0.55,2.75,0.0,-5.777142857142857,-0.2042857142857143,2.2471428571428573,0.4771428571428571,0.8728571428571437,0.34571428571428575,0.5028571428571427,0.4771428571428571,0.43803678591593653
2001-02-14,02-14,-9.45,-6.1,2.1,0.25,-5.984285714285714,-0.4971428571428571,2.5114285714285716,0.68,3.4657142857142853,5.602857142857142,0.4114285714285715,0.43000000000000005,1.4704694172871873
2001-02-15,02-15,-10.0,-4.15,1.65,0.0,-6.337142857142857,-0.9671428571428572,2.28,0.26,3.662857142857143,3.1828571428571433,0.6299999999999999,0.26,1.264112463979138
2001-02-16,02-16,-8.9,-5.55,3.65,0.0,-6.091428571428571,-0.2842857142857142,2.3457142857142856,0.1342857142857142,2.8085714285714296,5.265714285714286,1.3042857142857143,0.1342857142857142,1.6935565374134736
2001-02-17,02-17,-10.55,-5.3,1.45,0.0,-5.31,0.28,2.33,0.4985714285714285,5.240000000000001,5.58,0.8800000000000001,0.4985714285714285,1.944563861762753
2001-02-18,02-18,-5.85,-0.55,2.95,0.0,-4.84,0.5642857142857142,2.2657142857142856,0.2485714285714285,1.0099999999999998,1.1142857142857143,0.6842857142857146,0.2485714285714285,0.6188115033150131
2001-02-19,02-19,-4.7,-1.1,1.7,0.0,-5.08,0.7300000000000001,2.137142857142857,0.0671428571428571,0.3799999999999999,1.83,0.43714285714285706,0.0671428571428571,0.494018280849343
2001-02-20,02-20,-9.45,-4.45,2.4,0.0,-4.430000000000001,1.1257142857142857,2.42,0.6842857142857143,5.019999999999999,5.575714285714286,0.020000000000000018,0.6842857142857143,1.5502353088994567
2001-02-21,02-21,-12.8,-5.85,2.0,0.15,-4.73,0.7285714285714285,2.1399999999999997,0.4342857142857143,8.07,6.578571428571428,0.13999999999999968,0.28428571428571425,2.155985468495318
2001-02-22,02-22,-7.8,-2.8,2.4,0.0,-4.547142857142857,0.4714285714285714,2.2214285714285715,0.55,3.2528571428571427,3.2714285714285714,0.17857142857142838,0.55,1.0417030620064456
2001-02-23,02-23,-10.0,-3.35,2.85,0.9,-4.927142857142857,0.1142857142857143,2.47,0.81,5.072857142857143,3.4642857142857144,0.3799999999999999,0.08999999999999997,1.3876740643380883
2001-02-24,02-24,-3.35,0.3,2.75,4.7,-5.337142857142857,-0.0799999999999999,2.287142857142857,0.6642857142857143,1.987142857142857,0.3799999999999999,0.4628571428571431,4.035714285714286,0.9022095722470349
2001-02-25,02-25,-7.2,-3.05,4.05,0.5,-5.555714285714285,-0.4028571428571429,2.6042857142857145,0.2514285714285714,1.644285714285715,2.647142857142857,1.4457142857142853,0.2485714285714286,1.2483095892352134
2001-02-26,02-26,-7.8,-4.7,1.95,0.4,-5.361428571428571,-0.0328571428571428,2.414285714285714,0.1542857142857143,2.4385714285714286,4.667142857142857,0.4642857142857142,0.24571428571428572,1.2012405191424291
2001-02-27,02-27,-11.4,-6.65,1.2,0.0,-5.322857142857143,0.1871428571428571,2.225714285714286,0.0814285714285714,6.077142857142857,6.837142857142857,1.025714285714286,0.0814285714285714,2.262028195719347
2001-02-28,02-28,-11.4,-0.55,1.95,0.0,-4.645714285714286,0.7914285714285714,2.3528571428571428,0.9128571428571428,6.7542857142857144,1.3414285714285714,0.4028571428571428,0.9128571428571428,1.4432780421638636
2001-03-01,03-01,-6.4,-0.3,1.6,0.0,-4.8271428571428565,1.1785714285714286,2.26,0.4128571428571428,1.5728571428571438,1.4785714285714286,0.6599999999999997,0.4128571428571428,0.7544760179079395
2001-03-02,03-02,-4.45,0.55,0.85,0.0,-5.522857142857143,0.5371428571428571,2.454285714285714,0.0628571428571428,1.072857142857143,0.0128571428571429,1.604285714285714,0.0628571428571428,0.8711318670735959
2001-03-03,03-03,-6.4,1.95,0.8,0.0,-4.831428571428571,1.042857142857143,2.204285714285714,0.0714285714285714,1.5685714285714294,0.907142857142857,1.4042857142857141,0.0714285714285714,0.9755265367005644
2001-03-04,03-04,-6.1,-1.95,1.5,0.0,-3.4842857142857144,2.2542857142857144,2.3314285714285714,0.2842857142857142,2.615714285714285,4.204285714285715,0.8314285714285714,0.2842857142857142,1.3314786541346209
2001-03-05,03-05,-7.8,-1.4,1.6,0.0,-3.7714285714285714,2.124285714285714,2.4571428571428573,0.5814285714285715,4.0285714285714285,3.524285714285714,0.8571428571428572,0.5814285714285715,1.49119410423962
2001-03-06,03-06,-6.95,-0.85,0.45,0.0,-3.5971428571428574,2.0785714285714287,2.5942857142857143,0.3685714285714286,3.3528571428571428,2.928571428571429,2.144285714285714,0.3685714285714286,1.85772321611283
2001-03-07,03-07,-3.35,0.0,2.8,0.0,-3.257142857142857,1.4214285714285717,2.7,0.2757142857142857,0.09285714285714297,1.4214285714285717,0.09999999999999964,0.2757142857142857,0.26791118104465916
2001-03-08,03-08,-4.45,-1.4,2.25,0.0,-3.488571428571429,1.94,2.5157142857142856,0.8657142857142858,0.9614285714285713,3.34,0.26571428571428557,0.8657142857142858,0.7732949242068583
2001-03-09,03-09,-3.9,-1.1,2.2,0.0,-3.525714285714286,1.637142857142857,2.525714285714286,0.9585714285714284,0.3742857142857141,2.737142857142857,0.3257142857142856,0.9585714285714284,0.6408394196564042
