"date","headline","label"
"2017-01-20","TSX Jumps one percent as oil rally boosts energy stocks ; Trump eyed",""
"2017-01-20","Westpac Banking Corp Decreases Stake in WhiteWave Foods Co . (WWAV)",""
"2017-01-20","Commonwealth Bank of Australia Decreases Position in News Corp . (NWSA)",""
"2017-01-20","TD Securities Arranges $700MM Revolver For Colliers International",""
"2017-01-20","Bradley Foster & Sargent Inc.CT Decreases Stake in Luxottica Group SpA (LUX) – sleekmoney",""
"2017-01-20","Bokf Na Cuts Position in Wyndham Worldwide Corp . (WYN)",""
"2017-01-20","Dish Network Corp . (DISH) Stake Raised by BlackRock Fund Advisors",""
"2017-01-20","TSX surges 1% as oil rally boosts energy stocks, Trump eyed",""
"2017-01-20","Michael Kors Holdings Ltd (KORS) Shares Sold by HighTower Advisors LLC",""
"2017-01-21","Municipal Employees Retirement System of Michigan Buys 50 Shares of Discovery Communications Inc . (DISCA)",""
"2017-01-21","TD, BMO stand to gain most from interest rate hikes, Citi Research finds",""
"2017-01-21","Capital One National Association Has $202, 000 Position in Michael Kors Holdings Ltd . (KORS)",""
"2017-01-21","CIT Group Inc . (CIT) Shares Bought by Mitsubishi UFJ Kokusai Asset Management Co.Ltd .",""
"2017-01-21","Twitter Inc . (TWTR) Shares Sold by Nippon Life Insurance Co .",""
"2017-01-21","Bradley Foster & Sargent Inc.CT Continues to Hold Stake in LinkedIn Corp (LNKD)",""
"2017-01-22","Discovery Communications Inc . (DISCK) Stake Lowered by Advisor Group Inc .",""
"2017-01-22","The Stocks: HD Supply Holdings Inc . (HDS) Shares Sold by Vaughan Nelson Investment Management L.P .",""
"2017-01-22","JPMorgan Chase & Co.Sells 8, 713 Shares of People ’ s United Financial Inc . (PBCT)",""
"2017-01-23","1 Dividend Stock That Will Make You Very Rich in the Long Run",""
"2017-01-23","Royal Bank Of Canada (RY) Ex",""
"2017-01-23","Bokf Na Has $785, 000 Position in FleetCor Technologies Inc . (FLT)",""
"2017-01-24","New Market Research Report: The Toronto",""
"2017-01-24","Northleaf betting big on infrastructure as second pooled fund boosts program to $2.5 billion",""
"2017-01-24","Hilton Worldwide Holdings Inc . (HLT) Raised to Outperform at Sanford C.Bernstein",""
"2017-01-24","Northcoast Research Reiterates Hold Rating for Signet Jewelers Ltd . (SIG) – sleekmoney",""
"2017-01-24","Shenandoah Telecommunications Co . (SHEN) Shares Sold by BlackRock Investment Management LLC",""
"2017-01-24","Dish Network Corp . (DISH) Upgraded by Morgan Stanley to Overweight",""
"2017-01-24","Gold futures jump to two",""
"2017-01-24","AMP Capital Investors Ltd Buys 39, 126 Shares of ServiceNow Inc . (NOW)",""
"2017-01-25","Donald Trump Will Send Toronto",""
"2017-01-25","Toronto Dominion Bank: TD Recognized in Bloomberg Financial Services Gender",""
"2017-01-25","Toronto Dominion Bank: TD nearly doubles ATMs in Florida with expansion to select Walgreens locations",""
"2017-01-25","TD nearly doubles ATMs in Florida with expansion to select Walgreens locations",""
"2017-01-25","Murphy Oil Corp.to Post FY2016 Earnings of ($1.38) Per Share, CLSA Forecasts (MUR)",""
"2017-01-25","The Douglass Winthrop Advisors LLC Sells 283 Shares of Teva Pharmaceutical Industries Limited (TEVA)",""
"2017-01-25","Nomura Asset Management Co.Ltd.Buys 1, 250 Shares of Palo Alto Networks Inc . (PANW)",""
"2017-01-25","Two Sigma Advisers LP Has $15, 646, 000 Position in Gap Inc . (GPS)",""
"2017-01-25","Two Sigma Advisers LP Purchases 122, 983 Shares of Avery Dennison Corp . (AVY)",""
"2017-01-26","Canada AltaGas to Buy D.C . Utility WGL",""
"2017-01-26","Dollar January Blues May Spell Trouble for 2017 Performance",""
"2017-01-26","Four Canadian banks recognized for gender equality",""
"2017-01-26","United Services Automobile Association Has $9, 545, 000 Position in Incyte Corporation (INCY)",""
"2017-01-26","Navient Corporation (NAVI) Price Target Cut to $20.00 by Analysts at Barclays PLC",""
"2017-01-26","Praesidium Investment Management Company LLC Takes Position in ServiceNow, Inc . (NOW)",""
"2017-01-27","Capital World Investors Boosts Position in Toronto Dominion Bank (The) (TD)",""
"2017-01-27","Toronto Dominion Bank (The) (TD) Stake Raised by Investment Partners Ltd.OH ADV",""
"2017-01-27","Option Trade Reports for Comcast, Southwest Airlines Co ., Sarepta Therapeutics, Toronto",""
"2017-01-27","Banco Latinoamericano de Comercio Exterior, S.A . (BLX) Ex",""
"2017-01-27","Bank Of Montreal (BMO) Ex",""
"2017-01-27","RRSP Investors: Should You Buy Toronto",""
"2017-01-27","Russell Investments Group Ltd.Takes Position in CIT Group Inc (DEL) (CIT)",""
"2017-01-27","TripAdvisor, Inc . (TRIP) Sees Large Increase in Short Interest",""
"2017-01-27","ServiceNow, Inc . (NOW) Price Target Lowered to $97.00 at BMO Capital Markets",""
"2017-01-27","Eastman Chemical Company (EMN) Issues Earnings Results",""
"2017-01-27","Dividend 15 Split Corp.Announces Successful Overnight Offering",""
"2017-01-28","Toronto Dominion Bank (The) (TD) Position Increased by Moors & Cabot Inc .",""
"2017-01-28","Toronto Dominion Bank: Financing Your Small Business",""
"2017-01-28","Toronto Dominion Bank: Ocean City police charge four in TD Bank fraud scheme Ocean City police charge four in TD Bank fraud scheme",""
"2017-01-28","Virtus Investment Advisers Inc.Purchases New Stake in Dun & Bradstreet Corporation (The) (DNB)",""
"2017-01-28","Jefferies Group Equities Analysts Lower Earnings Estimates for Navient Corporation (NAVI)",""
"2017-01-28","ServiceNow, Inc . (NOW) Receives Outperform Rating from William Blair",""
"2017-01-28","TPG Group Holdings SBS Advisors Inc.Sells 3, 273 Shares of LinkedIn Corp (LNKD)",""
"2017-01-28","Prudential Financial Inc.Has $767, 000 Stake in MGM Resorts International (MGM)",""
"2017-01-29","Discovery Communications, Inc . (DISCA) Receives Underperform Rating from Credit Suisse Group",""
"2017-01-29","The New York State Common Retirement Fund Sells 75100 Shares of People ’ s United Financial, Inc . (PBCT)",""
"2017-01-29","The Tesla Motors, Inc . (TSLA) Receives Buy Rating from Robert W.Baird",""
"2017-01-29","Pacer Advisors Inc.Sells 199 Shares of Akamai Technologies, Inc . (AKAM)",""
"2017-01-30","Toronto Dominion Bank (The) (NYSE: TD) Receives An Update From Brokers",""
"2017-01-30","RBC Capital Markets Increases Toronto",""
"2017-01-30","Analysts Set Navient Corporation (NAVI) Target Price at $17.75",""
"2017-01-30","The CF Industries Holdings, Inc . (CF) Shares Sold by Bokf Na",""
"2017-01-30","Ameriprise Financial Inc.Has $7, 221, 000 Stake in Shenandoah Telecommunications Co (SHEN)",""
"2017-01-30","CIT Group Inc (DEL) (CIT) Stake Cut by Trutina Financial LLC – sleekmoney",""
"2017-01-30","Berenberg Bank Begins Coverage on Colgate",""
"2017-01-31","This Bank Stock Has Paid Dividends for 160 Years",""
"2017-01-31","These Stocks Have Paid Dividends for Over 100 Years in a Row - - Are Any Worth Buying ?",""
"2017-01-31","This Bank Stock Has Paid Dividends for 160 Years - - Here Why You Should Own It",""
"2017-01-31","United States Steel & Carnegie Pension Fund Sells 439, 912 Shares of Unilever NV (UN)",""
"2017-01-31","Discovery Communications, Inc . (DISCA) Shares Sold by Clinton Group Inc .",""
"2017-01-31","First Washington CORP Cuts Position in Anadarko Petroleum Corporation (APC)",""
"2017-01-31","Tesla Motors, Inc . (TSLA) Upgraded to C",""
"2017-01-31","Manufacturing Bump Extends Canadian Economic Momentum",""
"2017-01-31","Canada GDP saw higher",""
"2017-01-31","Allstate Corporation (The) (ALL) Shares Sold by Retirement Systems of Alabama",""
"2017-01-31","Toronto Dominion Bank (The) (TD) Shares Bought by Essex Financial Services Inc . – sleekmoney",""
"2017-02-01","Connor Clark & Lunn Investment Management Ltd.Buys 338, 974 Shares of Toronto Dominion Bank (The) (TD)",""
"2017-02-01","AO Asset Management LLC Takes Position in T",""
"2017-02-01","Economy strengthened in November: StatsCan",""
"2017-02-01","The Tegna Inc . (TGNA) Position Held by Westpac Banking Corp",""
"2017-02-01","CIBC tops annual Canadian online banking functionality benchmark",""
"2017-02-01","Tesla Motors, Inc . (TSLA) Rating Increased to Hold at Vetr Inc .",""
"2017-02-01","Tesla Motors, Inc . (TSLA) Lowered to Sell at Vetr Inc . – sleekmoney",""
"2017-02-02","Bokf Na Invests $225, 000 in BHP Billiton Limited (BHP)",""
"2017-02-02","3 M & A Deals Investors Would Love to See in 2017",""
"2017-02-02","Barclays PLC Lowers Teva Pharmaceutical Industries Limited (TEVA) Price Target to $38.00",""
"2017-02-02","Toronto Dominion Bank: He was at large after two bank robberies.Then, police caught up .",""
"2017-02-02","Cadence Capital Management LLC Buys 29, 704 Shares of Leggett & Platt, Incorporated (LEG)",""
"2017-02-02","Connor Clark & Lunn Investment Management Ltd.Has $35, 201, 000 Position in Express Scripts Holding Company (ESRX)",""
"2017-02-02","Private equity executive Feinberg in talks to join Trump administration",""
"2017-02-02","Advantus Capital Management Inc Holds Position in Tesoro Corporation (TSO)",""
"2017-02-02","Express Scripts Holding Company (ESRX) Stake Lowered by Schooner Investment Group LLC .",""
"2017-02-03","Smith & Nephew SNATS, Inc . (SNN) Shares Sold by Intrust Bank NA",""
"2017-02-03","Cheniere Energy, Inc . (LNG) Stake Raised by Legacy Capital Partners Inc .",""
"2017-02-04","The Express Scripts Holding Company (ESRX) Stake Increased by EP Wealth Advisors Inc .",""
"2017-02-05","Toronto Dominion Bank: TD Charitable Foundation Provides Generous Support to Community Kitchen & Culinary Programs at Eva Village",""
"2017-02-05","The Novo Nordisk A / S (NVO) Stake Increased by Nichols & Pratt Advisers LLP MA",""
"2017-02-05","The Novo Nordisk A / S (NVO) Shares Bought by Princeton Capital Management Inc .",""
"2017-02-05","Navient Corporation (NAVI) Shares Bought by ARGI Investment Services LLC",""
"2017-02-05","NRG Energy, Inc . (NRG) Debt Trading 1.5% Lower",""
"2017-02-05","Toll Brothers Inc . (TOL) Receives Average Recommendation of Hold from Analysts",""
"2017-02-05","Mastercard Quest for the Holy Grail of Payments",""
"2017-02-05","Hanesbrands Inc . (HBI) To Go Ex",""
